APOE
SH2B1
SIRT1
SLCO1C1
SERPINA3
SHARPIN
SESN2
SORCS1
SNX14
PPP1R1A
SNX3
PPARA
TFAM
SRI
ST3GAL1
TGM2
TFPI
TLX3
SYT2
TFRC
TCF7L1
TEC
STOX1
THBS1
SYK
SULF1
SYNPO
SV2B
TLR9
ST8SIA1
ST5
SULT2A1
TCN1
SREBF1
SPI1
TET1
SSH1
SPP1
SRR
TLR6
ST8SIA2
SRGAP3
TDO2
STK3
SREBF2
TYMS
UGT1A7
USP46
TRHR
UGCG
UGT2B7
TXN2
TRADD
UQCRC2
TNKS
UBE2NL
TXNIP
TST
TRIM2
TRIM21
UGT8
VAV1
UNC5C
TRIO
VDAC1
XRCC1
TRPC4
TRIB3
TNR
TUBGCP5
TNFRSF1B
TXNRD2
TRPM2
TRPV1
TREH
TRRAP
UGT1A3
UGT1A6
TNFRSF9
UGT1A4
YY1
TSPO
TRPC3
UGT1A9
VCAM1
TOMM40
WDFY3
TSG101
TPH1
TP73
ADAM19
ZNF804A
ADAM12
ZIC4
AHR
ABCC1
AGO1
ADORA2A
ABCA2
ADAMTS1
ACTN1
ZFP36
AFP
ADRA2B
ADIPOR1
ADM
ACCS
ACP2
PTPN6
QKI
RGMA
RARA
PZP
RARS
RGS2
RBFOX1
RALGDS
PROX1
RC3H1
ROS1
PROK1
PTPRK
RORA
RFX2
PTGS2
PPP3R1
ROCK1
REL
PTGS1
RPA1
PRKCA
PRND
PRKG1
CD38
CRYL1
CRYM
CSF1
CCR2
CD200
CPZ
CD86
CHRNB4
COX6A1
CDC42
CDH13
CNTF
CDKAL1
COG2
CD74
CRP
CCKAR
COX7A2
CDA
CNR2
CDK16
COX7A1
CDK5R1
CSTF2T
CLU
CNR1
CDC42BPB
CCR3
CDC45
CELSR2
CTF1
CD5
CHD3
COASY
CSMD1
CD80
CDX2
CHRM2
CHL1
CCR7
CNTNAP5
CXCL5
COQ7
COX4I1
CHPF
CLOCK
CHRM1
CLYBL
CPE
APBA2
PER1
ANO3
APEX1
APBB2
ALOX12
AQP5
ALDH1A2
ALDH1A1
PDE4B
ANKK1
AQP4
APOD
APAF1
APOC4
AHSG
APOA4
PGRMC1
PDE10A
P2RX7
PARP1
GSTM3
GSR
HEPH
HEY2
HK2
HOXA3
HMGCR
HCN2
GRB10
GPT
HBM
GRPR
HAND1
HINT1
HCRTR2
GRIN3A
HOMER2
GRM7
HDAC9
HDX
HEY1
HBD
GSTP1
GRIK4
GPS1
HIF1A
MTNR1A
HSPE1
IL18RAP
KCNIP4
HSPA9
IMMP2L
JUNB
IFNAR1
KLHL9
IDO1
KLF10
HSF1
JUN
KL
HTR7
INHA
ITGA9
MSRA
IRS4
JAG2
ILK
KLC1
MYB
IL1R1
HSPB6
MTHFD1L
IL6ST
ING1
HTR2C
IAPP
IL3
MTCH2
IFITM1
IL4
NEDD4
NRCAM
NR4A1
MYT1
NEGR1
NCOA1
NNT
NPY
MYOCD
NAV2
NPL
NFATC3
NME7
NCAPD2
NCKAP1
NMT2
NPAS3
NPC1L1
NEFM
NEIL2
NR1H3
NPAS2
NFE2L1
NLGN2
NAT1
NR1H2
NDUFB8
NOS1
NQO1
NR1I2
NDUFA6
NUAK1
MYT1L
NPY1R
NBEA
NFATC4
OPRM1
NOD1
OPRL1
NEIL1
NDUFA4
NR3C1
NXNL1
NLGN1
NEDD4L
MPG
MMP8
MAOB
LRP1
LCK
LIG3
MFGE8
LPP
LIG1
MME
MAP2K4
MGMT
MARS
MAN2A1
LIMK1
MACROD2
MGAT3
MCC
LYN
LOX
LHB
MDH2
MAP6
LHX8
LMO4
MADD
MIB1
MMEL1
LRFN5
MESD
MDN1
LIF
MFF
MAP3K15
MLLT3
MAP2
GOLGA3
GPR1
GPR12
GPNMB
GPR139
BRCA2
MSX1
NR4A2
NCSTN
MAPT
OSMR
WT1
TBP
SQSTM1
COL4A1
PICALM
CRH
UBR5
ARHGEF15
MAGI2
MTOR
CNTN2
STX1B
KCNB1
VLDLR
CASQ2
KRAS
RYR2
KCNQ1
GBA
NRXN2
NODAL
PTEN
SOS1
ATR
KLF8
ZMYM3
BEST1
PDLIM3
PTF1A
REN
STAT1
POLD1
NOS2
PAX6
NLRP1
PRNP
ORAI1
NOD2
POLR3B
LIPC
LPL
HBB
GPHN
KIT
LCAT
AIP
APOB
APOA5
ALB
F12
ESR1
DST
EDN1
F7
ELOVL4
DICER1
DRD3
DRD4
UCHL1
TIRAP
TG
TLR5
TNF
TERT
TLR2
SERPING1
SLC11A1
SLC33A1
SLC6A3
IRF1
IRF8
IL12B
HMOX1
IL6R
IRF5
ITM2B
ICOS
IL6
HR
MSR1
IL1RN
PDE8B
IL13
ITGB3
HK1
IL10
IL4R
KARS
IGF2
IFNG
PDGFB
FSHR
GCLC
CPS1
FN1
CTLA4
CR2
FLT4
FASLG
GABRA1
CYP1B1
FTL
DCC
GATA2
CD19
BRCA1
CCL11
CD209
C3
CHI3L1
CLEC7A
C9
CD36
CCND1
C5
CFI
CCR5
CBL
AARS2
POLG
CRYAB
JAK2
COL11A1
COQ2
LAMB2
EDAR
KLK1
GCH1
AKT3
EDA
PXDN
EGFR
DNMT3A
HCN1
ANGPTL4
MLH1
USP9X
XIAP
CDH1
SATB2
ERBB2
NTRK1
MPL
MET
BCL10
CDKN2A
HRAS
STK11
SMAD4
ABCG8
UGT1A1
COX10
SCO2
NOTCH2
BMP2
NOG
LRP4
PRX
MPZ
WNK1
DNM2
INS
LHCGR
CYP19A1
EXT1
AGRN
INSR
PIK3R1
SCN9A
BMP4
CAV1
YAP1
VDR
F5
AR
PROC
MYD88
IRAK4
F9
PIK3CD
PREPL
G6PD
AKT1
NDUFB9
HTR2A
APOA1
PAX5
HDC
CFTR
TNC
CD3E
CTNNA3
WWC1
HSD17B10
STIM1
PLCG2
FIG4
GRN
RAG2
SNCA
ACE
CTNNB1
KIF1A
AGT
PDE4D
ADAR
LRP5
CFH
CST3
CX3CR1
CTSC
GNRHR
HTRA1
PPARG
RET
CYLD
GATA4
GJA1
ADAM10
ABCB1
NOTCH3
MMP1
DRD5
CHMP2B
FUS
POMC
FOXP3
GDNF
SLC6A4
SHANK3
SERPINH1
TSC1
TBX1
COX15
ECE1
ACTG1
TSC2
TERC
FLT3
IGF2R
ANK1
FAAH
ERBB4
ANK3
LDLR
NEUROD1
COL1A1
COL1A2
SLC45A2
TGFB1
ZEB1
RB1
TGFBI
PITX3
MTR
MC1R
TYR
SCN2B
MVK
TNFRSF1A
BTK
DNMT1
VWF
TP63
VAPB
NR3C2
RUNX2
SETX
HSPB1
HSPB8
GSS
MITF
PAX3
SLC4A11
ERCC2
MTTP
OPTN
DYNC1H1
GRIP1
DES
MIP
ERCC3
COMP
ATM
CRX
VIM
CTNS
ABCA12
ATP8A2
VANGL2
MAP2K2
APC
TP53
ELN
MTRR
SCN5A
CPT2
OPA1
TPH2
CASP8
DISC1
REEP1
AGK
PDX1
KCNE2
AKT2
COMT
GNAS
SCN2A
FLG
PSAP
KCNJ10
NDUFS3
GLB1
HPD
CHRNA4
FGFR3
PRODH
PLA2G6
ABCC8
IDUA
FGFR1
GNE
DYSF
SOX3
NSDHL
PROS1
FOXC1
ABCA4
JAG1
NDP
OTX2
PAX2
NRXN1
MED12
NHS
CNTNAP2
NPHP1
EVC
VHL
TRIM32
PCDH15
GABRG2
CCL2
SHH
FLNA
PTCH1
KCNQ2
KCNJ11
ZMPSTE24
SOX10
NAGA
L1CAM
TTR
CAV3
BAG3
ABCC9
DMD
DSP
DSG2
JUP
ATP1A3
CIDEC
SLC1A1
CRYAA
ATP7A
EGR2
SDHA
CYP7B1
HSPD1
GARS
CYP11B1
KIF1B
ALAS2
MFN2
NEFL
PANK2
HADH
PLP1
RAF1
SCN1A
CACNA1C
CSNK1D
WDR45
VCP
TPM3
SAG
RLBP1
RHO
PROM1
PDE6B
LRAT
ALPL
SMPD1
RBP4
CD27
TLR3
CACNA1A
NF1
NF2
MMP3
MECP2
LMNA
AIFM1
KCNE1
FMR1
TAB2
SCO1
CYP11B2
ABCB4
LEP
PIK3R2
CALM1
SEMA3A
ABCD4
SKI
TACR3
GRM1
NMNAT1
APRT
SLC26A4
HSPG2
SMAD6
NBAS
ROR2
ZAP70
ARID1B
CDH23
KANSL1
PLCB4
HSD11B1
COQ9
GLRB
SLC6A5
SERPINA1
MAF
DNAJB6
RBM8A
MAFB
KIF11
RHBDF2
ACO2
NDUFA12
MTNR1B
MLXIPL
CRADD
ABCG2
HARS
CUL3
NDUFB3
NDUFA9
DLD
CSF1R
RIPK4
SPTB
THRA
LRSAM1
TSHZ1
ALDH18A1
GOT1
LEPR
CYP2C9
ALDOB
HPS1
DNM1L
DGUOK
MDM2
MEGF10
SIGMAR1
MBL2
CSF2RB
ADAM17
ADK
AKR1C2
GRIN1
MED23
IGFBP7
VPS35
MYO1E
LDHB
CHIT1
LAMC3
PDHB
DYRK1A
CAT
FANCG
BLOC1S3
ACAT2
LTC4S
APOC3
TBXA2R
SERPINF1
GRIN2B
CD4
ACACA
TGM6
NTRK2
MERTK
FUT6
DHFR
SMAD3
C8A
C1S
ARMS2
MAP3K1
GCLM
OLR1
RNF213
UBE2A
UBQLN2
MAGT1
DLG3
GDI1
FAH
PCK1
NAT2
FANCD2
FANCC
F10
HSD11B2
C1R
HSD3B2
ENG
EPHA2
C9orf72
CDC6
MSRB3
KALRN
IDS
TAT
NDUFA10
WNT5A
MAX
FADD
AHCY
NRL
CYP11A1
PSENEN
C1QB
C1QA
C1QC
CD320
SPTLC2
MCFD2
SORT1
BLNK
CD81
MS4A1
GPI
GCKR
FOXG1
MEF2C
SHANK2
SERPINE1
HAMP
TSPAN12
RPS26
RPS10
TLR1
PNP
ABAT
NTF4
TLL1
RAD50
MMP9
FOLR1
SYNE2
FGF9
DPP6
SNTA1
SLC25A12
FTO
PGM1
LDHA
GHRHR
ADAM9
ALAD
SPR
SOD2
PON1
AK1
EPO
KIRREL3
FUT2
CNTN1
RPL35A
ZBTB16
C6
KLKB1
F11
XBP1
PLAT
FA2H
CD59
ARL13B
TAF15
SMAD7
STXBP1
CREB1
NFKBIA
SLC2A9
TARDBP
CHRNA3
CYCS
ANG
AKAP9
EGF
TUBA1A
GYS1
CRYBB1
TYK2
TLR4
ACAD8
COG1
ICAM1
TCF4
LRP6
ABCA3
NME8
SCARB1
ERCC1
PLCE1
RD3
FAM126A
HTRA2
EHMT1
ALDH2
PDYN
GLIS3
DNAJC19
CTSD
C7
DCN
GLUL
ITGAM
TOPORS
WDR36
TRIOBP
P2RY12
CEL
ZIC2
CYP2C19
SNAP29
KCNMA1
CXCR1
CXCL12
FGF14
ST3GAL5
CDK4
CD8A
MUSK
IGF1
NGF
DDC
AHI1
FKBP5
LRP8
MEF2A
HGF
ARHGEF10
ARFGEF2
CD2AP
HSD3B7
CLDN1
NPC2
ERBB3
SLC19A3
UCP2
CRBN
ADRB1
SPG7
TDP1
LRRK2
CD40
FH
ATP13A2
PARK7
SLC40A1
TALDO1
HMGCS2
PINK1
AMT
MYH2
TH
CHRNB2
PRKCG
TNNT1
CISD2
CDK5RAP2
TTBK2
CHN1
PER2
PPP2R2B
MIF
CP
ATPAF2
TFR2
SERPINI1
KIF5A
DTNA
MLC1
TRPC6
VEGFA
EIF2B5
EIF2B2
EIF2B4
EIF2B3
EIF2B1
PCSK9
EPHB2
RIMS1
CCM2
HMCN1
COLQ
NRG1
CNBP
THAP1
MPI
USF1
ETHE1
DHCR24
MMP13
KDR
FMO3
TRPM6
FAS
UCP1
SDC3
AGRP
UCP3
SIM1
MC4R
PYY
ADRB3
MTHFD1
LIFR
CRYBB2
RNASEL
NDRG1
RUNX1
ALOX5AP
ALG3
RAB7A
CA4
HNMT
ALOX5
HDAC4
NIPA1
TEK
AGPS
KCNQ4
CFP
OTC
EMD
HCCS
SMS
AFF2
SAT1
CD40LG
STS
GK
CHM
EBP
PHF6
GLA
SYP
ZDHHC9
GRIA3
PGK1
SRPX2
MAOA
ZDHHC15
PAK3
SYN1
CUL4B
LAMP2
DCX
MID1
ERCC5
DDB2
XPC
XPA
LIPA
ATP7B
WRN
TTPA
MMACHC
TCN2
TPO
WNT3
HEXA
NUP62
ASPA
DDR2
IGF1R
DHCR7
HEXB
COL18A1
AK2
PC
CYP27B1
PGR
ANO6
SERPINF2
PHKB
PGAM2
PTS
PAH
AMH
CUBN
AMN
AIMP1
FBXO7
CA2
OSTM1
TCIRG1
MMP2
PPIB
OAT
RELN
NPC1
GAN
CLN5
PPT1
NME1
NEU1
NEB
NDUFA2
NDUFS7
BIN1
CPT1A
SCARB2
CSTB
EPM2A
CHAT
GUSB
ARSB
GNS
NAGLU
MCOLN1
NDUFA1
NDUFV1
NDUFV2
MCPH1
MMAA
ARSA
SIL1
DBT
BCAM
SAR1B
STAT5B
PDHX
GALC
MGP
IVD
DNMT3B
B2M
ABCC2
HPSE2
CBS
HAL
CYBA
PFKM
PYGM
AGL
GAA
AAAS
NLRP7
GALT
GALE
FBP1
FXN
FTCD
KNG1
EIF2AK3
ITGA6
EVC2
PLOD1
DBH
LCT
SI
GNPAT
LRP2
TYROBP
TREM2
LRPPRC
FASTKD2
COX6B1
CTH
PLG
LYST
MYO5A
CYP27A1
BLM
ABCG5
MCCC1
BBS1
ASCL1
TF
AGA
ASL
ARG1
APOC2
SOX2
RSPO4
TMPRSS6
SLC11A2
SLC25A38
CLN3
ACAT1
GFAP
CYP17A1
STAR
ACADVL
CXCR4
FGF23
PCM1
ATXN2
SPAST
RAI1
DAO
RTN4R
LOXL1
SEC63
PKD1
FRZB
ATXN7
ATXN1
PABPN1
CSF3R
SPTLC1
HCRT
DMPK
MTMR14
DRD2
EDNRA
DNASE1
GLRA1
STAT3
SELP
MS4A2
GATA3
SELE
PNMT
CYP3A5
GNB3
ADD1
OGG1
CETP
HTT
MYOC
IL1B
TIMP3
EPOR
COL5A2
TOR1A
SNCB
TCF7L2
SLC30A8
IRS2
IRS1
AQP2
AVP
ATN1
DIAPH1
PIKFYVE
KCNQ3
ITGB2
RB1CC1
PHB
MYC
NOTCH1
ATXN3
UBE3A
RPS19
TRPM7
SOD1
PRPH
LYZ
FGA
GSN
BLMH
ADA
WDR48
USP8
MAG
CR1
OCLN
ADNP
SYNJ1
HERC2
GNB4
EIF4E
NOP56
CCT5
FCGR2B
RILP
GPX1
HP
OGDH
LARS
ENO1
GLS
PAK5
IDE
NDUFB6
MDH1
GPX4
HNRNPA1
PRKAR1B
CTBP1
CAPN1
PCNA
CPT1C
EBF3
YME1L1
KIDINS220
HNRNPH2
TDP2
PMPCA
DNAJC3
VAC14
